url	local_path	size_label
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/02_Variants/SNPs/AMP_SNP_anno.vcf.gz	maize_ZEAMAP/variation/AMP_SNP_anno.vcf.gz	198.16MB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/02_Variants/SNPs/AMP_SNP_anno.vcf.gz.tbi	maize_ZEAMAP/variation/AMP_SNP_anno.vcf.gz.tbi	unknown
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/04K5686.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/04K5686.bedgraph.gz	94.61KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/04K5686.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/04K5686.bedgraph.gz.tbi	75.98KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/05WN230.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/05WN230.bedgraph.gz	91.05KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/05WN230.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/05WN230.bedgraph.gz.tbi	75.92KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/07KS4.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/07KS4.bedgraph.gz	92.14KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/07KS4.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/07KS4.bedgraph.gz.tbi	75.98KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/1323.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/1323.bedgraph.gz	94.11KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/1323.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/1323.bedgraph.gz.tbi	75.99KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/150.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/150.bedgraph.gz	93.12KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/150.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/150.bedgraph.gz.tbi	75.94KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/177.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/177.bedgraph.gz	86.10KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/177.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/177.bedgraph.gz.tbi	75.77KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/238.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/238.bedgraph.gz	90.15KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/238.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/238.bedgraph.gz.tbi	75.93KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/268.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/268.bedgraph.gz	88.72KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/268.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/268.bedgraph.gz.tbi	75.90KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/384-2.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/384-2.bedgraph.gz	81.16KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/384-2.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/384-2.bedgraph.gz.tbi	75.74KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/4019.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/4019.bedgraph.gz	91.49KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/4019.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/4019.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/4F1.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/4F1.bedgraph.gz	92.19KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/4F1.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/4F1.bedgraph.gz.tbi	75.89KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/501.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/501.bedgraph.gz	93.12KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/501.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/501.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/5213.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/5213.bedgraph.gz	87.75KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/5213.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/5213.bedgraph.gz.tbi	75.85KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/7327.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/7327.bedgraph.gz	94.24KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/7327.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/7327.bedgraph.gz.tbi	76.02KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/7381.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/7381.bedgraph.gz	83.62KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/7381.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/7381.bedgraph.gz.tbi	75.74KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/812.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/812.bedgraph.gz	93.92KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/812.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/812.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/832.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/832.bedgraph.gz	93.69KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/832.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/832.bedgraph.gz.tbi	75.98KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/835A.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/835A.bedgraph.gz	88.65KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/835A.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/835A.bedgraph.gz.tbi	75.87KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/8902.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/8902.bedgraph.gz	90.19KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/8902.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/8902.bedgraph.gz.tbi	75.94KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/975-12.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/975-12.bedgraph.gz	95.83KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/975-12.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/975-12.bedgraph.gz.tbi	76.03KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/A619.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/A619.bedgraph.gz	90.46KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/A619.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/A619.bedgraph.gz.tbi	75.93KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B11.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B11.bedgraph.gz	93.16KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B11.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B11.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B110.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B110.bedgraph.gz	93.54KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B110.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B110.bedgraph.gz.tbi	75.94KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B111.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B111.bedgraph.gz	95.04KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B111.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B111.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B73.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B73.bedgraph.gz	92.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/B73.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/B73.bedgraph.gz.tbi	75.99KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BEM.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BEM.bedgraph.gz	90.65KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BEM.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BEM.bedgraph.gz.tbi	75.87KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BS16.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BS16.bedgraph.gz	92.01KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BS16.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BS16.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4839.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4839.bedgraph.gz	79.82KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4839.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4839.bedgraph.gz.tbi	75.66KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4944.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4944.bedgraph.gz	90.01KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4944.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4944.bedgraph.gz.tbi	75.96KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4960.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4960.bedgraph.gz	89.69KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY4960.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY4960.bedgraph.gz.tbi	75.86KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY809.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY809.bedgraph.gz	90.90KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY809.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY809.bedgraph.gz.tbi	75.87KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY813.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY813.bedgraph.gz	90.09KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY813.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY813.bedgraph.gz.tbi	75.91KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY815.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY815.bedgraph.gz	92.56KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY815.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY815.bedgraph.gz.tbi	75.98KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY855.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY855.bedgraph.gz	93.23KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/BY855.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/BY855.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CF3.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CF3.bedgraph.gz	94.32KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CF3.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CF3.bedgraph.gz.tbi	76.03KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CHENG698.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CHENG698.bedgraph.gz	93.10KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CHENG698.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CHENG698.bedgraph.gz.tbi	75.99KB
